Pore diameter(um)	Cumulative distribution
20.11194129	0.977289497
20.14860854	0.977371485
20.16689222	0.977453472
20.20336046	0.97753546
20.22154531	0.977576453
20.23062549	0.977658441
20.24876142	0.977699434
20.26686493	0.977740428
20.31198277	0.977781422
20.32098232	0.977822415
20.3299739	0.977904403
20.37481299	0.978027384
20.38375715	0.978109371
20.39269348	0.978150365
20.40162198	0.978232352
20.41054267	0.978273346
20.4283607	0.97831434
20.43725807	0.978355333
20.44614771	0.978396327
20.46390381	0.978478314
20.47277032	0.978519308
20.52580883	0.978560302
20.54342755	0.978642289
20.5522256	0.978683283
20.56101611	0.978724276
20.56979912	0.97876527
20.59610324	0.978806264
20.61360206	0.978847258
20.63107122	0.978888251
20.63979472	0.979011232
20.66592107	0.979052226
20.67461519	0.979134213
20.68330201	0.979216201
20.70065378	0.979298188
20.70931877	0.979380175
20.76977167	0.979421169
20.77837912	0.979503157
20.79557265	0.97954415
20.8127378	0.979626138
20.82130977	0.979667131
20.85552727	0.979708125
20.86406412	0.979749119
20.87259399	0.979790112
20.8811169	0.979831106
20.90664396	0.9798721
20.92362743	0.979954087
20.93210884	0.980036074
20.95751191	0.980077068
20.96596593	0.980159056
20.98285355	0.980200049
21.00813412	0.980241043
21.02495409	0.980282037
21.03335399	0.98032303
21.04174719	0.980364024
21.0501337	0.980405018
21.05851353	0.980487005
21.08361309	0.980527999
21.09196635	0.980568992
21.13363371	0.980609986
21.15855547	0.98065098
21.16684969	0.980732967
21.17513742	0.980773961
21.18341866	0.980896942
21.19169344	0.980937936
21.19996175	0.980978929
21.22472809	0.981019923
21.2740881	0.981060917
21.28229253	0.98110191
21.29868244	0.981142904
21.32322012	0.981183898
21.38025613	0.981224891
21.39649636	0.981265885
21.42890307	0.981306879
21.43698945	0.981347872
21.45314393	0.981388866
21.46927412	0.981470853
21.46927412	0.981511847
21.47733013	0.981552841
21.53355377	0.981634828
21.55755998	0.981675822
21.56555018	0.981716816
21.58151284	0.981757809
21.61336752	0.981798803
21.62131654	0.98188079
21.64512858	0.981921784
21.68469928	0.981962778
21.73985682	0.982003771
21.78691294	0.982167746
21.79473589	0.98220874
21.79473589	0.982290727
